geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
21-29-VC01	37.87822	37.87822	-121.57676	-121.57676
21-30-CQS01	38.06187	38.06187	-122.21503	-122.21503
21-30-CQS02	38.05769	38.05769	-122.20977	-122.20977
21-30-CS01	38.24709	38.24709	-121.70091	-121.70091
21-30-CS02	38.27968	38.27968	-121.71318	-121.71318
21-30-CS03	38.25995	38.25995	-121.6703	-121.6703
21-30-CS04	38.24274	38.24274	-121.67975	-121.67975
21-30-FT01	38.06236	38.06236	-121.60063	-121.60063
21-30-HB01	38.05944	38.05944	-121.96299	-121.96299
21-30-LSJ01	38.03628	38.03628	-121.7135	-121.7135
21-30-LSJ02	38.01957	38.01957	-121.74035	-121.74035
21-30-LSR01	38.0391	38.0391	-121.78516	-121.78516
21-30-LSR02	38.0824	38.0824	-121.75829	-121.75829
21-30-LSR03	38.06361	38.06361	-121.79498	-121.79498
21-30-LSR04	38.05612	38.05612	-121.80762	-121.80762
21-30-LSSC01	38.47344	38.47344	-121.58439	-121.58439
21-30-LSSC02	38.44133	38.44133	-121.59783	-121.59783
21-30-MIW01	38.02472	38.02472	-121.5083	-121.5083
21-30-MIW02	38.01012	38.01012	-121.51752	-121.51752
21-30-OR01	37.91309	37.91309	-121.55717	-121.55717
21-30-PP01	38.10258	38.10258	-121.59125	-121.59125
21-30-PP02	38.07612	38.07612	-121.57079	-121.57079
21-30-RV01	38.10685	38.10685	-121.70284	-121.70284
21-30-RV02	38.1169	38.1169	-121.6979	-121.6979
21-30-SBM01	38.06595	38.06595	-121.98452	-121.98452
21-30-SBM02	38.05865	38.05865	-122.01864	-122.01864
21-30-SBM03	38.07204	38.07204	-122.01369	-122.01369
21-30-SBM04	38.09443	38.09443	-122.02081	-122.02081
21-30-SBW01	38.05885	38.05885	-122.10722	-122.10722
21-30-SBW02	38.05214	38.05214	-122.11528	-122.11528
21-30-SJT01	38.09636	38.09636	-121.65794	-121.65794
21-30-SM02	38.13229	38.13229	-122.05859	-122.05859
21-30-SPE01	38.04842	38.04842	-122.29463	-122.29463
21-30-USSC01	38.54825	38.54825	-121.5814	-121.5814
21-31-CF01	38.03832	38.03832	-121.88166	-121.88166
21-31-CQS01	38.03025	38.03025	-122.1603	-122.1603
21-31-CS01	38.33565	38.33565	-121.65976	-121.65976
21-31-CS02	38.23416	38.23416	-121.67909	-121.67909
21-31-CS03	38.28571	38.28571	-121.72073	-121.72073
21-31-CS04	38.25697	38.25697	-121.73241	-121.73241
21-31-CS05	38.27238	38.27238	-121.69461	-121.69461
21-31-FT01	38.05224	38.05224	-121.63578	-121.63578
21-31-HB01	38.05314	38.05314	-121.9361	-121.9361
21-31-HB02	38.06388	38.06388	-121.96019	-121.96019
21-31-HC01	38.01185	38.01185	-121.58078	-121.58078
21-31-HC02	38.04744	38.04744	-121.58056	-121.58056
